No.,Species,Stage,Depth.water..m.,Treat.temp....C.,O2.Sat,Resp.O2.ind...µl...h.,BM.dry..mg.,BM.N..mg.,BM.C..mg.,Ref.data,Location
217,Acartia tonsa,,2,22,1,0.0564,0.0072,0.0007,0.003,Ikeda et al. (2001),Variable or Unknown
218,Undinula vulgaris,,2,23.5,1,0.9663,0.1854,0.0178,0.0771,Ikeda et al. (2001),Variable or Unknown
219,Euchaeta marina,,2,24,1,1.3375,0.2905,0.028,0.1209,Ikeda et al. (2001),Variable or Unknown
220,Acartia pacifica,,2,26,1,0.0464,0.0078,0.0008,0.0032,Ikeda et al. (2001),Variable or Unknown
221,Calanopia elliptica,,2,26,1,0.2803,0.0563,0.0054,0.0234,Ikeda et al. (2001),Variable or Unknown
222,Tortanus gracilis,,2,26,1,0.1433,0.0235,0.0023,0.0098,Ikeda et al. (2001),Variable or Unknown
223,Eucalanus subcrassus,,2,24,1,0.655,0.1037,0.01,0.0431,Ikeda et al. (2001),Variable or Unknown
224,Labidocera acuta,,2,24,1,1.89,0.2334,0.0224,0.0971,Ikeda et al. (2001),Variable or Unknown
225,Acartia australis,,2,25,1,0.0553,0.0091,0.0009,0.0038,Ikeda et al. (2001),Variable or Unknown
226,Nannocalanus minor,,2,26.9,1,0.21,0.0401,0.0045,0.017,Ikeda et al. (2001),Variable or Unknown
227,Undinula vulgaris,,2,27.6,1,1.3989,0.1673,0.0181,0.0698,Ikeda et al. (2001),Variable or Unknown
228,Eucalanus attenuatus,,2,27.4,1,0.905,0.1374,0.0128,0.0541,Ikeda et al. (2001),Variable or Unknown
229,Labidocera acuta,,2,28.5,1,2.07,0.2315,0.0283,0.0998,Ikeda et al. (2001),Variable or Unknown
230,Labidocera nerii,,2,26.4,1,1.515,0.221,0.027,0.0953,Ikeda et al. (2001),Variable or Unknown
231,Pontella danae,,2,26.4,1,3.43,0.7,0.084,0.2996,Ikeda et al. (2001),Variable or Unknown
232,Neocalanus cristatus,C5,25,5,1,1,1.72,0.1651,0.676,Ikeda et al. (2004),Variable or Unknown
233,Calanus marshallae,C5,15,8,1,0.3829,0.4211,0.0356,0.239,F. Sano & T. Ikeda (unpubl.),North Pacific
234,Neocalanus plumchrus,C5,75,5.8,1,0.251,0.244,0.0187,0.1113,F. Sano & T. Ikeda (unpubl.),North Pacific
235,Neocalanus plumchrus,C5,15,8,1,0.6478,0.9278,0.0696,0.5511,F. Sano & T. Ikeda (unpubl.),North Pacific
236,Mesocalanus tennuicornis,C6F,15,22,1,0.5993,0.265,0.0281,0.1226,F. Sano & T. Ikeda (unpubl.),North Pacific
237,Metridia pacifica,C6F,135,4.7,1,0.3975,0.2032,0.0245,0.0946,F. Sano & T. Ikeda (unpubl.),North Pacific
238,Metridia pacifica,C6F,75,5.8,1,0.2775,0.183,0.0215,0.0824,F. Sano & T. Ikeda (unpubl.),North Pacific
239,Pleuromamma scutullata,C6F,75,6,1,0.4335,0.3223,0.0352,0.1464,F. Sano & T. Ikeda (unpubl.),North Pacific
240,Pleuromamma scutullata,C6F,75,5.8,1,0.423,0.4025,0.0432,0.1962,F. Sano & T. Ikeda (unpubl.),North Pacific
241,Pleuromamma scutullata,C6F,100,3,1,0.336,0.3588,0.0358,0.1799,F. Sano & T. Ikeda (unpubl.),North Pacific
242,Pleuromamma abdominaris,C6F,100,13.6,1,0.6835,0.3585,0.0427,0.1545,F. Sano & T. Ikeda (unpubl.),North Pacific
243,Pleuromamma xiphias,C6F,100,12,1,0.5488,0.3873,0.0445,0.1599,F. Sano & T. Ikeda (unpubl.),North Pacific
244,Gaetanus simplex,C6F,75,6,1,0.3635,0.4508,0.0524,0.2176,F. Sano & T. Ikeda (unpubl.),North Pacific
245,Gaetanus simplex,C6F,100,3,1,0.2723,0.4343,0.0477,0.2295,F. Sano & T. Ikeda (unpubl.),North Pacific
246,Euchaeta marina,C6F,100,11.3,1,0.6028,0.415,0.044,0.205,F. Sano & T. Ikeda (unpubl.),North Pacific
247,Euchaeta marina,C6F,15,20.2,1,0.743,0.18,0.0196,0.0862,F. Sano & T. Ikeda (unpubl.),North Pacific
248,Euchaeta marina,C6F,100,20,1,0.9085,0.23,0.0281,0.104,F. Sano & T. Ikeda (unpubl.),North Pacific
249,Euchaeta marina,C6F,100,16,1,0.9036,0.335,0.0409,0.1514,F. Sano & T. Ikeda (unpubl.),North Pacific
250,Candacia bipinnata,C6F,100,11.3,1,0.7088,0.3325,0.0371,0.1438,F. Sano & T. Ikeda (unpubl.),North Pacific
251,Candacia bipinnata,C6F,15,20.2,1,0.4763,0.1017,0.0117,0.0444,F. Sano & T. Ikeda (unpubl.),North Pacific
252,Candacia bipinnata,C6F,100,13,1,0.4041,0.1636,0.0193,0.07,F. Sano & T. Ikeda (unpubl.),North Pacific
253,Candacia columbiae,C6F,100,4.7,1,0.7603,0.5589,0.066,0.2541,F. Sano & T. Ikeda (unpubl.),North Pacific
